coeff_bits,input_bits,acc_guard,rounding,saturate_output,total_bits_per_tap,passband_ripple_db,stopband_atten_db,meets_freq_spec,rms_error_wideband,snr_db_wideband,rms_error_music,snr_db_music,overflow_events,passes_error_budget,avg_bits_per_unique_coeff,bit_widths,min_bits,max_bits,n_levels
12,12,2,round,True,12,0.4077091295335874,35.39928412244019,True,0.001828270500403189,44.30308553095322,0.0015074196958248806,43.461958901855766,0,False,12.0,"12,10,14,12,14,10,14,12,10",10,14,3
12,12,4,round,True,12,0.4077091295335874,35.39928412244019,True,0.001828270500403189,44.30308553095322,0.0015074196958248806,43.461958901855766,0,False,12.0,"12,10,14,12,14,10,14,12,10",10,14,3
12,13,2,round,True,12,0.4077091295335874,35.39928412244019,True,0.0018197746957433173,44.34354213228585,0.0014963767301445492,43.525823691410324,0,False,12.0,"12,10,14,12,14,10,14,12,10",10,14,3
12,13,4,round,True,12,0.4077091295335874,35.39928412244019,True,0.0018197746957433173,44.34354213228585,0.0014963767301445492,43.525823691410324,0,False,12.0,"12,10,14,12,14,10,14,12,10",10,14,3
12,14,2,round,True,12,0.4077091295335874,35.39928412244019,True,0.0018124518587274905,44.378564969864485,0.0014845957327683944,43.59447845227344,0,False,12.0,"12,10,14,12,14,10,14,12,10",10,14,3
12,14,4,round,True,12,0.4077091295335874,35.39928412244019,True,0.0018124518587274905,44.378564969864485,0.0014845957327683944,43.59447845227344,0,False,12.0,"12,10,14,12,14,10,14,12,10",10,14,3
12,15,2,round,True,12,0.4077091295335874,35.39928412244019,True,0.0018079260930565842,44.40028111229246,0.0014846876020783112,43.59394097127394,0,False,12.0,"12,10,14,12,14,10,14,12,10",10,14,3
12,15,4,round,True,12,0.4077091295335874,35.39928412244019,True,0.0018079260930565842,44.40028111229246,0.0014846876020783112,43.59394097127394,0,False,12.0,"12,10,14,12,14,10,14,12,10",10,14,3
12,16,2,round,True,12,0.4077091295335874,35.39928412244019,True,0.0018086119023599339,44.396986876755264,0.001482978095965701,43.60394788214796,0,False,12.0,"12,10,14,12,14,10,14,12,10",10,14,3
12,16,4,round,True,12,0.4077091295335874,35.39928412244019,True,0.0018086119023599339,44.396986876755264,0.001482978095965701,43.60394788214796,0,False,12.0,"12,10,14,12,14,10,14,12,10",10,14,3
12,12,2,round,True,12,0.42878202986060915,33.47025831095619,False,0.001797587428856094,44.45009412329844,0.0010098280054056203,46.94169439547175,0,False,12.11111111111111,"13,11,13,11,14,10,14,13,10",10,14,4
12,12,4,round,True,12,0.42878202986060915,33.47025831095619,False,0.001797587428856094,44.45009412329844,0.0010098280054056203,46.94169439547175,0,False,12.11111111111111,"13,11,13,11,14,10,14,13,10",10,14,4
12,13,2,round,True,12,0.42878202986060915,33.47025831095619,False,0.0017780249694853572,44.545137455520354,0.0009835986007380327,47.1702845656067,0,False,12.11111111111111,"13,11,13,11,14,10,14,13,10",10,14,4
12,13,4,round,True,12,0.42878202986060915,33.47025831095619,False,0.0017780249694853572,44.545137455520354,0.0009835986007380327,47.1702845656067,0,False,12.11111111111111,"13,11,13,11,14,10,14,13,10",10,14,4
12,14,2,round,True,12,0.42878202986060915,33.47025831095619,False,0.0017673147339840505,44.597616605241726,0.0009682316429352997,47.30705717474667,0,False,12.11111111111111,"13,11,13,11,14,10,14,13,10",10,14,4
12,14,4,round,True,12,0.42878202986060915,33.47025831095619,False,0.0017673147339840505,44.597616605241726,0.0009682316429352997,47.30705717474667,0,False,12.11111111111111,"13,11,13,11,14,10,14,13,10",10,14,4
12,15,2,round,True,12,0.42878202986060915,33.47025831095619,False,0.0017682191525869107,44.593172761344626,0.0009686543775023686,47.30326570140718,0,False,12.11111111111111,"13,11,13,11,14,10,14,13,10",10,14,4
12,15,4,round,True,12,0.42878202986060915,33.47025831095619,False,0.0017682191525869107,44.593172761344626,0.0009686543775023686,47.30326570140718,0,False,12.11111111111111,"13,11,13,11,14,10,14,13,10",10,14,4
12,16,2,round,True,12,0.42878202986060915,33.47025831095619,False,0.001767356358559682,44.59741203374938,0.0009687475338303406,47.30243041206454,0,False,12.11111111111111,"13,11,13,11,14,10,14,13,10",10,14,4
12,16,4,round,True,12,0.42878202986060915,33.47025831095619,False,0.001767356358559682,44.59741203374938,0.0009687475338303406,47.30243041206454,0,False,12.11111111111111,"13,11,13,11,14,10,14,13,10",10,14,4
12,12,2,round,True,12,0.41055173733102673,35.42336218842261,True,0.0018377857044930034,44.2579971888346,0.0015928222705141298,42.98329622488759,0,False,12.333333333333334,"12,10,15,12,15,10,15,12,10",10,15,3
12,12,4,round,True,12,0.41055173733102673,35.42336218842261,True,0.0018377857044930034,44.2579971888346,0.0015928222705141298,42.98329622488759,0,False,12.333333333333334,"12,10,15,12,15,10,15,12,10",10,15,3
12,13,2,round,True,12,0.41055173733102673,35.42336218842261,True,0.001815260674874858,44.36511458110356,0.0015813479464169362,43.04609383188143,0,False,12.333333333333334,"12,10,15,12,15,10,15,12,10",10,15,3
12,13,4,round,True,12,0.41055173733102673,35.42336218842261,True,0.001815260674874858,44.36511458110356,0.0015813479464169362,43.04609383188143,0,False,12.333333333333334,"12,10,15,12,15,10,15,12,10",10,15,3
12,14,2,round,True,12,0.41055173733102673,35.42336218842261,True,0.0018101321334600992,44.38968900754624,0.0015710217734076605,43.10299852766128,0,False,12.333333333333334,"12,10,15,12,15,10,15,12,10",10,15,3
12,14,4,round,True,12,0.41055173733102673,35.42336218842261,True,0.0018101321334600992,44.38968900754624,0.0015710217734076605,43.10299852766128,0,False,12.333333333333334,"12,10,15,12,15,10,15,12,10",10,15,3
12,15,2,round,True,12,0.41055173733102673,35.42336218842261,True,0.001809756523378082,44.39149155344769,0.0015721956358862583,43.09651088198762,0,False,12.333333333333334,"12,10,15,12,15,10,15,12,10",10,15,3
12,15,4,round,True,12,0.41055173733102673,35.42336218842261,True,0.001809756523378082,44.39149155344769,0.0015721956358862583,43.09651088198762,0,False,12.333333333333334,"12,10,15,12,15,10,15,12,10",10,15,3
12,16,2,round,True,12,0.41055173733102673,35.42336218842261,True,0.001808757183413137,44.39628919003026,0.0015698196750386364,43.10964725186378,0,False,12.333333333333334,"12,10,15,12,15,10,15,12,10",10,15,3
12,16,4,round,True,12,0.41055173733102673,35.42336218842261,True,0.001808757183413137,44.39628919003026,0.0015698196750386364,43.10964725186378,0,False,12.333333333333334,"12,10,15,12,15,10,15,12,10",10,15,3
13,12,2,round,True,13,0.42065155176512414,34.402904861264425,False,0.0016715603672419301,45.08145325922538,0.0013044361879217803,44.718185838793914,0,False,12.555555555555555,"13,12,13,12,15,10,15,13,10",10,15,4
13,12,4,round,True,13,0.42065155176512414,34.402904861264425,False,0.0016715603672419301,45.08145325922538,0.0013044361879217803,44.718185838793914,0,False,12.555555555555555,"13,12,13,12,15,10,15,13,10",10,15,4
13,13,2,round,True,13,0.42065155176512414,34.402904861264425,False,0.0016484991510840206,45.20212001166104,0.0013043808642534433,44.71855423202963,0,False,12.555555555555555,"13,12,13,12,15,10,15,13,10",10,15,4
13,13,4,round,True,13,0.42065155176512414,34.402904861264425,False,0.0016484991510840206,45.20212001166104,0.0013043808642534433,44.71855423202963,0,False,12.555555555555555,"13,12,13,12,15,10,15,13,10",10,15,4
13,14,2,round,True,13,0.42065155176512414,34.402904861264425,False,0.0016422805112139218,45.23494778468102,0.0012872240172424735,44.83355992432729,0,False,12.555555555555555,"13,12,13,12,15,10,15,13,10",10,15,4
13,14,4,round,True,13,0.42065155176512414,34.402904861264425,False,0.0016422805112139218,45.23494778468102,0.0012872240172424735,44.83355992432729,0,False,12.555555555555555,"13,12,13,12,15,10,15,13,10",10,15,4
13,15,2,round,True,13,0.42065155176512414,34.402904861264425,False,0.0016374484900997359,45.260541626414266,0.0012850387818675191,44.848317917074255,0,False,12.555555555555555,"13,12,13,12,15,10,15,13,10",10,15,4
13,15,4,round,True,13,0.42065155176512414,34.402904861264425,False,0.0016374484900997359,45.260541626414266,0.0012850387818675191,44.848317917074255,0,False,12.555555555555555,"13,12,13,12,15,10,15,13,10",10,15,4
13,16,2,round,True,13,0.42065155176512414,34.402904861264425,False,0.001638674403967619,45.254041166325614,0.001284766519741833,44.85015839797271,0,False,12.555555555555555,"13,12,13,12,15,10,15,13,10",10,15,4
