tag,module_name,rtl_path,total_cells,flop_cells,comb_cells,min_bits,max_bits,n_levels,input_bits,acc_guard,avg_bits_per_tap,rms_error_wideband,snr_db_wideband,stopband_atten_db,passband_ripple_db,bit_widths
s_lo13_hi15_lv4_i15_g4,fir_s_lo13_hi15_lv4_i15_g4,/home/aarushlenka/GitRepos/sscs-ose-code-a-chip.github.io/ISSCC27/submitted_notebooks/PrecisionFit/precisionfit/src/verilog/rtl/fir_s_lo13_hi15_lv4_i15_g4.v,12219,292,11927,13,15,4,15,4,14.0,0.00021326445078873575,61.35290096690503,41.97428095413041,0.3811875562577849,"14,14,14,14,15,14,15,13,13"
s_lo13_hi15_lv4_i15_g2,fir_s_lo13_hi15_lv4_i15_g2,/home/aarushlenka/GitRepos/sscs-ose-code-a-chip.github.io/ISSCC27/submitted_notebooks/PrecisionFit/precisionfit/src/verilog/rtl/fir_s_lo13_hi15_lv4_i15_g2.v,12251,292,11959,13,15,4,15,2,14.0,0.00021326445078873575,61.35290096690503,41.97428095413041,0.3811875562577849,"14,14,14,14,15,14,15,13,13"
s_lo13_hi16_lv4_i15_g4,fir_s_lo13_hi16_lv4_i15_g4,/home/aarushlenka/GitRepos/sscs-ose-code-a-chip.github.io/ISSCC27/submitted_notebooks/PrecisionFit/precisionfit/src/verilog/rtl/fir_s_lo13_hi16_lv4_i15_g4.v,12315,292,12023,13,16,4,15,4,14.555555555555555,0.0001995256050241073,61.93129761110666,41.87696295548154,0.3829210545428301,"15,15,15,14,16,14,16,13,13"
s_lo13_hi16_lv4_i15_g2,fir_s_lo13_hi16_lv4_i15_g2,/home/aarushlenka/GitRepos/sscs-ose-code-a-chip.github.io/ISSCC27/submitted_notebooks/PrecisionFit/precisionfit/src/verilog/rtl/fir_s_lo13_hi16_lv4_i15_g2.v,12331,292,12039,13,16,4,15,2,14.555555555555555,0.0001995256050241073,61.93129761110666,41.87696295548154,0.3829210545428301,"15,15,15,14,16,14,16,13,13"
s_lo13_hi16_lv3_i16_g2,fir_s_lo13_hi16_lv3_i16_g2,/home/aarushlenka/GitRepos/sscs-ose-code-a-chip.github.io/ISSCC27/submitted_notebooks/PrecisionFit/precisionfit/src/verilog/rtl/fir_s_lo13_hi16_lv3_i16_g2.v,12510,311,12199,13,16,3,16,2,14.333333333333334,0.00022167814673421826,61.01681269877318,41.930918825344165,0.3829536352852734,"14,16,14,14,16,13,16,13,13"
s_lo13_hi16_lv3_i16_g4,fir_s_lo13_hi16_lv3_i16_g4,/home/aarushlenka/GitRepos/sscs-ose-code-a-chip.github.io/ISSCC27/submitted_notebooks/PrecisionFit/precisionfit/src/verilog/rtl/fir_s_lo13_hi16_lv3_i16_g4.v,12555,311,12244,13,16,3,16,4,14.333333333333334,0.00022167814673421826,61.01681269877318,41.930918825344165,0.3829536352852734,"14,16,14,14,16,13,16,13,13"
s_lo13_hi15_lv3_i16_g2,fir_s_lo13_hi15_lv3_i16_g2,/home/aarushlenka/GitRepos/sscs-ose-code-a-chip.github.io/ISSCC27/submitted_notebooks/PrecisionFit/precisionfit/src/verilog/rtl/fir_s_lo13_hi15_lv3_i16_g2.v,12729,311,12418,13,15,3,16,2,14.0,0.00022167814673421826,61.01681269877318,41.930918825344165,0.3829536352852734,"14,15,14,14,15,13,15,13,13"
s_lo13_hi15_lv3_i16_g4,fir_s_lo13_hi15_lv3_i16_g4,/home/aarushlenka/GitRepos/sscs-ose-code-a-chip.github.io/ISSCC27/submitted_notebooks/PrecisionFit/precisionfit/src/verilog/rtl/fir_s_lo13_hi15_lv3_i16_g4.v,12746,311,12435,13,15,3,16,4,14.0,0.00022167814673421826,61.01681269877318,41.930918825344165,0.3829536352852734,"14,15,14,14,15,13,15,13,13"
s_lo13_hi15_lv4_i16_g2,fir_s_lo13_hi15_lv4_i16_g2,/home/aarushlenka/GitRepos/sscs-ose-code-a-chip.github.io/ISSCC27/submitted_notebooks/PrecisionFit/precisionfit/src/verilog/rtl/fir_s_lo13_hi15_lv4_i16_g2.v,12931,311,12620,13,15,4,16,2,14.0,0.00020988352697489225,61.49170326584005,41.97428095413041,0.3811875562577849,"14,14,14,14,15,14,15,13,13"
s_lo13_hi15_lv4_i16_g4,fir_s_lo13_hi15_lv4_i16_g4,/home/aarushlenka/GitRepos/sscs-ose-code-a-chip.github.io/ISSCC27/submitted_notebooks/PrecisionFit/precisionfit/src/verilog/rtl/fir_s_lo13_hi15_lv4_i16_g4.v,12995,311,12684,13,15,4,16,4,14.0,0.00020988352697489225,61.49170326584005,41.97428095413041,0.3811875562577849,"14,14,14,14,15,14,15,13,13"
s_lo13_hi16_lv4_i16_g2,fir_s_lo13_hi16_lv4_i16_g2,/home/aarushlenka/GitRepos/sscs-ose-code-a-chip.github.io/ISSCC27/submitted_notebooks/PrecisionFit/precisionfit/src/verilog/rtl/fir_s_lo13_hi16_lv4_i16_g2.v,13091,311,12780,13,16,4,16,2,14.555555555555555,0.00019669936616875712,62.05521112950762,41.87696295548154,0.3829210545428301,"15,15,15,14,16,14,16,13,13"
s_lo13_hi16_lv4_i16_g4,fir_s_lo13_hi16_lv4_i16_g4,/home/aarushlenka/GitRepos/sscs-ose-code-a-chip.github.io/ISSCC27/submitted_notebooks/PrecisionFit/precisionfit/src/verilog/rtl/fir_s_lo13_hi16_lv4_i16_g4.v,13106,311,12795,13,16,4,16,4,14.555555555555555,0.00019669936616875712,62.05521112950762,41.87696295548154,0.3829210545428301,"15,15,15,14,16,14,16,13,13"
