tag,module_name,rtl_path,total_cells,flop_cells,comb_cells,coeff_bits,input_bits,acc_guard,avg_bits_per_unique_coeff,rms_error_wideband,snr_db_wideband,stopband_atten_db,passband_ripple_db
u_c15_i17_g2,fir_u_c15_i17_g2,src/verilog/rtl/fir_u_c15_i17_g2.v,15206,330,14876,15,17,2,15.0,6.414165416792432e-05,71.78846722140234,42.114238718262705,0.3820067110998183
u_c14_i18_g4,fir_u_c14_i18_g4,src/verilog/rtl/fir_u_c14_i18_g4.v,15436,349,15087,14,18,4,14.0,0.00015131468376610767,64.33364884813895,41.84392015161637,0.38034153493481837
u_c14_i18_g2,fir_u_c14_i18_g2,src/verilog/rtl/fir_u_c14_i18_g2.v,15449,349,15100,14,18,2,14.0,0.00015131468376610767,64.33364884813895,41.84392015161637,0.38034153493481837
u_c16_i16_g2,fir_u_c16_i16_g2,src/verilog/rtl/fir_u_c16_i16_g2.v,15928,311,15617,16,16,2,16.0,4.135664513219624e-05,75.60036431168413,42.28953658738163,0.38400340711078507
u_c16_i16_g4,fir_u_c16_i16_g4,src/verilog/rtl/fir_u_c16_i16_g4.v,15995,311,15684,16,16,4,16.0,4.135664513219624e-05,75.60036431168413,42.28953658738163,0.38400340711078507
u_c15_i18_g4,fir_u_c15_i18_g4,src/verilog/rtl/fir_u_c15_i18_g4.v,16053,349,15704,15,18,4,15.0,6.384372155654888e-05,71.82890644255181,42.114238718262705,0.3820067110998183
u_c15_i18_g2,fir_u_c15_i18_g2,src/verilog/rtl/fir_u_c15_i18_g2.v,16108,349,15759,15,18,2,15.0,6.384372155654888e-05,71.82890644255181,42.114238718262705,0.3820067110998183
u_c16_i17_g2,fir_u_c16_i17_g2,src/verilog/rtl/fir_u_c16_i17_g2.v,16921,330,16591,16,17,2,16.0,3.770544496835361e-05,76.4031889323467,42.28953658738163,0.38400340711078507
u_c16_i17_g4,fir_u_c16_i17_g4,src/verilog/rtl/fir_u_c16_i17_g4.v,16922,330,16592,16,17,4,16.0,3.770544496835361e-05,76.4031889323467,42.28953658738163,0.38400340711078507
u_c16_i18_g2,fir_u_c16_i18_g2,src/verilog/rtl/fir_u_c16_i18_g2.v,17804,349,17455,16,18,2,16.0,3.6861213772619145e-05,76.59987770620094,42.28953658738163,0.38400340711078507
u_c16_i18_g4,fir_u_c16_i18_g4,src/verilog/rtl/fir_u_c16_i18_g4.v,17819,349,17470,16,18,4,16.0,3.6861213772619145e-05,76.59987770620094,42.28953658738163,0.38400340711078507
