coeff_bits,input_bits,acc_guard,rounding,saturate_output,total_bits_per_tap,passband_ripple_db,stopband_atten_db,meets_freq_spec,rms_error_wideband,snr_db_wideband,rms_error_music,snr_db_music,overflow_events,passes_error_budget
4,6,2,round,True,4,2.539121219883417,10.102999614756897,False,0.09742462816837127,8.157895200372929,0.056969872526862544,11.166063379218423,0,False
4,6,4,round,True,4,2.539121219883417,10.102999614756897,False,0.09742462816837127,8.157895200372929,0.056969872526862544,11.166063379218423,0,False
4,7,2,round,True,4,2.539121219883417,10.102999614756897,False,0.09613624083679802,8.273527616225048,0.054175883183258444,11.6028483335825,0,False
4,7,4,round,True,4,2.539121219883417,10.102999614756897,False,0.09613624083679802,8.273527616225048,0.054175883183258444,11.6028483335825,0,False
4,8,2,round,True,4,2.539121219883417,10.102999614756897,False,0.09533292481731241,8.34641199117888,0.053466705785877935,11.717299793579832,0,False
4,8,4,round,True,4,2.539121219883417,10.102999614756897,False,0.09533292481731241,8.34641199117888,0.053466705785877935,11.717299793579832,0,False
4,9,2,round,True,4,2.539121219883417,10.102999614756897,False,0.09519999647432781,8.358531693080655,0.05305350522415789,11.784686676223854,0,False
4,9,4,round,True,4,2.539121219883417,10.102999614756897,False,0.09519999647432781,8.358531693080655,0.05305350522415789,11.784686676223854,0,False
4,10,2,round,True,4,2.539121219883417,10.102999614756897,False,0.09520262196989378,8.358292150526891,0.05311445520331936,11.774713707948536,0,False
4,10,4,round,True,4,2.539121219883417,10.102999614756897,False,0.09520262196989378,8.358292150526891,0.05311445520331936,11.774713707948536,0,False
4,11,2,round,True,4,2.539121219883417,10.102999614756897,False,0.09521582882598384,8.35708729570144,0.05314834752166846,11.769173011878195,0,False
4,11,4,round,True,4,2.539121219883417,10.102999614756897,False,0.09521582882598384,8.35708729570144,0.05314834752166846,11.769173011878195,0,False
4,12,2,round,True,4,2.539121219883417,10.102999614756897,False,0.0952023861048151,8.358313669898292,0.0531247801581887,11.773025416076134,0,False
4,12,4,round,True,4,2.539121219883417,10.102999614756897,False,0.0952023861048151,8.358313669898292,0.0531247801581887,11.773025416076134,0,False
4,13,2,round,True,4,2.539121219883417,10.102999614756897,False,0.09519368173433937,8.359107858583299,0.05312589934796465,11.772842430726328,0,False
4,13,4,round,True,4,2.539121219883417,10.102999614756897,False,0.09519368173433937,8.359107858583299,0.05312589934796465,11.772842430726328,0,False
4,14,2,round,True,4,2.539121219883417,10.102999614756897,False,0.09519470726990503,8.359014284717897,0.05312591523021666,11.77283983403678,0,False
4,14,4,round,True,4,2.539121219883417,10.102999614756897,False,0.09519470726990503,8.359014284717897,0.05312591523021666,11.77283983403678,0,False
4,15,2,round,True,4,2.539121219883417,10.102999614756897,False,0.0951960965946,8.358887518921154,0.053124672091375474,11.773043084993827,0,False
4,15,4,round,True,4,2.539121219883417,10.102999614756897,False,0.0951960965946,8.358887518921154,0.053124672091375474,11.773043084993827,0,False
4,16,2,round,True,4,2.539121219883417,10.102999614756897,False,0.09519721822342467,8.358785179779726,0.053125495619224306,11.772908439145011,0,False
4,16,4,round,True,4,2.539121219883417,10.102999614756897,False,0.09519721822342467,8.358785179779726,0.053125495619224306,11.772908439145011,0,False
4,17,2,round,True,4,2.539121219883417,10.102999614756897,False,0.09519630543476348,8.358868463931643,0.053125038860388975,11.772983118427415,0,False
4,17,4,round,True,4,2.539121219883417,10.102999614756897,False,0.09519630543476348,8.358868463931643,0.053125038860388975,11.772983118427415,0,False
4,18,2,round,True,4,2.539121219883417,10.102999614756897,False,0.09519665786192531,8.358836307875242,0.05312467398282888,11.773042775740993,0,False
4,18,4,round,True,4,2.539121219883417,10.102999614756897,False,0.09519665786192531,8.358836307875242,0.05312467398282888,11.773042775740993,0,False
5,6,2,round,True,5,1.8506978113136823,15.771405279363297,False,0.0546320563594168,13.18231938436133,0.024985654876388555,18.32515359668262,0,False
5,6,4,round,True,5,1.8506978113136823,15.771405279363297,False,0.0546320563594168,13.18231938436133,0.024985654876388555,18.32515359668262,0,False
5,7,2,round,True,5,1.8506978113136823,15.771405279363297,False,0.051754989236611246,13.652225887051763,0.018301184410045697,21.029384389877123,0,False
5,7,4,round,True,5,1.8506978113136823,15.771405279363297,False,0.051754989236611246,13.652225887051763,0.018301184410045697,21.029384389877123,0,False
5,8,2,round,True,5,1.8506978113136823,15.771405279363297,False,0.050847091990383134,13.80594793674774,0.016538463929193923,21.909064925459063,0,False
5,8,4,round,True,5,1.8506978113136823,15.771405279363297,False,0.050847091990383134,13.80594793674774,0.016538463929193923,21.909064925459063,0,False
5,9,2,round,True,5,1.8506978113136823,15.771405279363297,False,0.050832823346898405,13.808385701629735,0.015652826798616994,22.38711273880193,0,False
5,9,4,round,True,5,1.8506978113136823,15.771405279363297,False,0.050832823346898405,13.808385701629735,0.015652826798616994,22.38711273880193,0,False
5,10,2,round,True,5,1.8506978113136823,15.771405279363297,False,0.050823134429626125,13.810041420944863,0.015604048948056486,22.414222253784473,0,False
5,10,4,round,True,5,1.8506978113136823,15.771405279363297,False,0.050823134429626125,13.810041420944863,0.015604048948056486,22.414222253784473,0,False
5,11,2,round,True,5,1.8506978113136823,15.771405279363297,False,0.05077050253474879,13.819041096217944,0.015593693092970824,22.41998868505808,0,False
5,11,4,round,True,5,1.8506978113136823,15.771405279363297,False,0.05077050253474879,13.819041096217944,0.015593693092970824,22.41998868505808,0,False
5,12,2,round,True,5,1.8506978113136823,15.771405279363297,False,0.050776588478397576,13.817999966739734,0.015571522872868847,22.43234657263068,0,False
5,12,4,round,True,5,1.8506978113136823,15.771405279363297,False,0.050776588478397576,13.817999966739734,0.015571522872868847,22.43234657263068,0,False
5,13,2,round,True,5,1.8506978113136823,15.771405279363297,False,0.050770251409858504,13.819084059126876,0.015561725568517495,22.43781328821069,0,False
5,13,4,round,True,5,1.8506978113136823,15.771405279363297,False,0.050770251409858504,13.819084059126876,0.015561725568517495,22.43781328821069,0,False
5,14,2,round,True,5,1.8506978113136823,15.771405279363297,False,0.050770372029040174,13.81906342334851,0.01557351263996111,22.431236739419205,0,False
5,14,4,round,True,5,1.8506978113136823,15.771405279363297,False,0.050770372029040174,13.81906342334851,0.01557351263996111,22.431236739419205,0,False
5,15,2,round,True,5,1.8506978113136823,15.771405279363297,False,0.05077019266081396,13.819094110052337,0.015568934100206126,22.433790725728223,0,False
5,15,4,round,True,5,1.8506978113136823,15.771405279363297,False,0.05077019266081396,13.819094110052337,0.015568934100206126,22.433790725728223,0,False
5,16,2,round,True,5,1.8506978113136823,15.771405279363297,False,0.05076980659638305,13.819160159157411,0.015568406750093045,22.434084938705837,0,False
5,16,4,round,True,5,1.8506978113136823,15.771405279363297,False,0.05076980659638305,13.819160159157411,0.015568406750093045,22.434084938705837,0,False
5,17,2,round,True,5,1.8506978113136823,15.771405279363297,False,0.0507699605688372,13.819133817010261,0.015568822152477893,22.433853181455913,0,False
5,17,4,round,True,5,1.8506978113136823,15.771405279363297,False,0.0507699605688372,13.819133817010261,0.015568822152477893,22.433853181455913,0,False
5,18,2,round,True,5,1.8506978113136823,15.771405279363297,False,0.050770101909413834,13.819109636039322,0.015568397810578765,22.434089926220487,0,False
5,18,4,round,True,5,1.8506978113136823,15.771405279363297,False,0.050770101909413834,13.819109636039322,0.015568397810578765,22.434089926220487,0,False
6,6,2,round,True,6,0.7626967240141822,14.793399297899938,False,0.04575273201748378,14.722929697954743,0.026520036978951195,17.807485827156075,0,False
6,6,4,round,True,6,0.7626967240141822,14.793399297899938,False,0.04575273201748378,14.722929697954743,0.026520036978951195,17.807485827156075,0,False
6,7,2,round,True,6,0.7626967240141822,14.793399297899938,False,0.042383080695009887,15.387419918206417,0.020331411302701875,20.115617809459636,0,False
6,7,4,round,True,6,0.7626967240141822,14.793399297899938,False,0.042383080695009887,15.387419918206417,0.020331411302701875,20.115617809459636,0,False
6,8,2,round,True,6,0.7626967240141822,14.793399297899938,False,0.041437157662067944,15.583471183315005,0.01825252322475967,21.052510138922976,0,False
6,8,4,round,True,6,0.7626967240141822,14.793399297899938,False,0.041437157662067944,15.583471183315005,0.01825252322475967,21.052510138922976,0,False
6,9,2,round,True,6,0.7626967240141822,14.793399297899938,False,0.041036455778657124,15.667873444308926,0.017621500203422735,21.35811074849424,0,False
6,9,4,round,True,6,0.7626967240141822,14.793399297899938,False,0.041036455778657124,15.667873444308926,0.017621500203422735,21.35811074849424,0,False
6,10,2,round,True,6,0.7626967240141822,14.793399297899938,False,0.04101071186116687,15.673324182949692,0.017607535358888555,21.364996949200776,0,False
6,10,4,round,True,6,0.7626967240141822,14.793399297899938,False,0.04101071186116687,15.673324182949692,0.017607535358888555,21.364996949200776,0,False
6,11,2,round,True,6,0.7626967240141822,14.793399297899938,False,0.040989500310531155,15.677817858931842,0.01760268657332196,21.367389209985582,0,False
6,11,4,round,True,6,0.7626967240141822,14.793399297899938,False,0.040989500310531155,15.677817858931842,0.01760268657332196,21.367389209985582,0,False
6,12,2,round,True,6,0.7626967240141822,14.793399297899938,False,0.04099503210207815,15.676645722443727,0.01757612499682318,21.380505682977486,0,False
6,12,4,round,True,6,0.7626967240141822,14.793399297899938,False,0.04099503210207815,15.676645722443727,0.01757612499682318,21.380505682977486,0,False
6,13,2,round,True,6,0.7626967240141822,14.793399297899938,False,0.04098319425530646,15.679154247838696,0.01757469554122726,21.381212129846464,0,False
6,13,4,round,True,6,0.7626967240141822,14.793399297899938,False,0.04098319425530646,15.679154247838696,0.01757469554122726,21.381212129846464,0,False
6,14,2,round,True,6,0.7626967240141822,14.793399297899938,False,0.040986330492953305,15.678489585839587,0.01756707285989478,21.384980282267406,0,False
6,14,4,round,True,6,0.7626967240141822,14.793399297899938,False,0.040986330492953305,15.678489585839587,0.01756707285989478,21.384980282267406,0,False
6,15,2,round,True,6,0.7626967240141822,14.793399297899938,False,0.04098640668284659,15.67847343956883,0.017568844316670537,21.384104444702757,0,False
6,15,4,round,True,6,0.7626967240141822,14.793399297899938,False,0.04098640668284659,15.67847343956883,0.017568844316670537,21.384104444702757,0,False
6,16,2,round,True,6,0.7626967240141822,14.793399297899938,False,0.04098694226277786,15.678359939553633,0.017570152661779755,21.38345763391078,0,False
6,16,4,round,True,6,0.7626967240141822,14.793399297899938,False,0.04098694226277786,15.678359939553633,0.017570152661779755,21.38345763391078,0,False
6,17,2,round,True,6,0.7626967240141822,14.793399297899938,False,0.04098627004309489,15.678502396481079,0.017568726116961433,21.384162881846578,0,False
6,17,4,round,True,6,0.7626967240141822,14.793399297899938,False,0.04098627004309489,15.678502396481079,0.017568726116961433,21.384162881846578,0,False
6,18,2,round,True,6,0.7626967240141822,14.793399297899938,False,0.040986338831554094,15.67848781870996,0.017569097112519607,21.38397946544918,0,False
6,18,4,round,True,6,0.7626967240141822,14.793399297899938,False,0.040986338831554094,15.67848781870996,0.017569097112519607,21.38397946544918,0,False
7,6,2,round,True,7,0.7506162249615598,23.92110980516165,False,0.02647594363313845,19.47424138287111,0.0209074362174301,19.872952722203202,0,False
7,6,4,round,True,7,0.7506162249615598,23.92110980516165,False,0.02647594363313845,19.47424138287111,0.0209074362174301,19.872952722203202,0,False
7,7,2,round,True,7,0.7506162249615598,23.92110980516165,False,0.019632998444732104,22.071537695482043,0.011163307596381719,25.32311050208037,0,False
7,7,4,round,True,7,0.7506162249615598,23.92110980516165,False,0.019632998444732104,22.071537695482043,0.011163307596381719,25.32311050208037,0,False
7,8,2,round,True,7,0.7506162249615598,23.92110980516165,False,0.01789427894737199,22.876986276734836,0.0067633933786375436,29.67567537341811,0,False
7,8,4,round,True,7,0.7506162249615598,23.92110980516165,False,0.01789427894737199,22.876986276734836,0.0067633933786375436,29.67567537341811,0,False
7,9,2,round,True,7,0.7506162249615598,23.92110980516165,False,0.017211752124432284,23.214768680084358,0.005229635214788533,31.90954040571198,0,False
7,9,4,round,True,7,0.7506162249615598,23.92110980516165,False,0.017211752124432284,23.214768680084358,0.005229635214788533,31.90954040571198,0,False
7,10,2,round,True,7,0.7506162249615598,23.92110980516165,False,0.016996716969303865,23.323969487772942,0.00468289099998202,32.868687349945866,0,False
7,10,4,round,True,7,0.7506162249615598,23.92110980516165,False,0.016996716969303865,23.323969487772942,0.00468289099998202,32.868687349945866,0,False
7,11,2,round,True,7,0.7506162249615598,23.92110980516165,False,0.01700663060838135,23.318904764237608,0.004535150225881946,33.1471347823055,0,False
7,11,4,round,True,7,0.7506162249615598,23.92110980516165,False,0.01700663060838135,23.318904764237608,0.004535150225881946,33.1471347823055,0,False
7,12,2,round,True,7,0.7506162249615598,23.92110980516165,False,0.016964976972428384,23.34020484933722,0.004507061789314916,33.20109809227049,0,False
7,12,4,round,True,7,0.7506162249615598,23.92110980516165,False,0.016964976972428384,23.34020484933722,0.004507061789314916,33.20109809227049,0,False
7,13,2,round,True,7,0.7506162249615598,23.92110980516165,False,0.016974157418612718,23.335505828825298,0.0045105494178347295,33.19437942648724,0,False
7,13,4,round,True,7,0.7506162249615598,23.92110980516165,False,0.016974157418612718,23.335505828825298,0.0045105494178347295,33.19437942648724,0,False
7,14,2,round,True,7,0.7506162249615598,23.92110980516165,False,0.0169667461334535,23.339299104740512,0.004506026594559549,33.20309332122101,0,False
7,14,4,round,True,7,0.7506162249615598,23.92110980516165,False,0.0169667461334535,23.339299104740512,0.004506026594559549,33.20309332122101,0,False
7,15,2,round,True,7,0.7506162249615598,23.92110980516165,False,0.016967273753352066,23.339029001273524,0.004504241732435192,33.20653453186458,0,False
7,15,4,round,True,7,0.7506162249615598,23.92110980516165,False,0.016967273753352066,23.339029001273524,0.004504241732435192,33.20653453186458,0,False
7,16,2,round,True,7,0.7506162249615598,23.92110980516165,False,0.01696747005935927,23.338928508850575,0.004505747337524113,33.203631638273684,0,False
7,16,4,round,True,7,0.7506162249615598,23.92110980516165,False,0.01696747005935927,23.338928508850575,0.004505747337524113,33.203631638273684,0,False
7,17,2,round,True,7,0.7506162249615598,23.92110980516165,False,0.016967517694813708,23.338904123617077,0.0045055268078887135,33.20405677151111,0,False
